date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,,date,D_pm25,D_pm10,D_o3,D_no2,D_so2,D_co,,date,P_pm25,P_pm10,P_o3,P_no2,P_so2,P_co
2016-09-01,85,,9,6,3,4,,2016/9/1,76,69,7,18,5,8,,2016-09-01,,,,,,
2016-09-02,120,,9,7,3,5,,2016/9/2,119,78,12,17,4,7,,2016-09-02,,,,,,
2016-09-03,142,,8,5,2,6,,2016/9/3,124,84,7,14,5,5,,2016-09-03,,,,,,
2016-09-04,133,,9,5,2,7,,2016/9/4,126,82,11,12,4,5,,2016-09-04,,,,,,
2016-09-05,137,,14,6,4,5,,2016/9/5,123,91,7,14,5,5,,2016-09-05,,,,,,
2016-09-06,138,,15,7,7,2,,2016/9/6,130,99,10,17,7,7,,2016-09-06,,,,,,
2016-09-07,164,,9,7,6,4,,2016/9/7,141,98,11,16,9,3,,2016-09-07,,,,,,
2016-09-08,260,,13,7,6,2,,2016/9/8,142,98,12,17,8,4,,2016-09-08,,,,,,
2016-09-09,118,,9,7,3,1,,2016/9/9,139,81,12,15,8,7,,2016-09-09,,,,,,
2016-09-10,111,,38,7,3,1,,2016/9/10,120,71,12,16,8,7,,2016-09-10,,,,,,
2016-09-11,98,,26,8,4,3,,2016/9/11,111,87,11,18,7,8,,2016-09-11,,,,,,
2016-09-12,108,,10,10,5,4,,2016/9/12,134,87,15,22,8,10,,2016-09-12,,,,,,
2016-09-13,148,,9,6,6,12,,2016/9/13,145,68,19,21,9,13,,2016-09-13,,,,,,
2016-09-14,109,,8,11,4,7,,2016/9/14,128,99,25,29,7,13,,2016-09-14,,,,,,
2016-09-15,165,,12,12,4,7,,2016/9/15,158,91,24,30,9,10,,2016-09-15,,,,,,
2016-09-16,163,,13,11,4,6,,2016/9/16,151,110,25,35,9,14,,2016-09-16,,,,,,
2016-09-17,175,,12,8,4,6,,2016/9/17,165,109,26,29,8,13,,2016-09-17,,,,,,
2016-09-18,168,,13,8,4,9,,2016/9/18,166,105,27,32,10,15,,2016-09-18,,,,,,
2016-09-19,158,,14,9,4,5,,2016/9/19,157,121,45,36,7,23,,2016-09-19,,,,,,
2016-09-20,171,,11,6,4,8,,2016/9/20,173,112,14,30,6,20,,2016-09-20,,,,,,
2016-09-21,159,,9,4,3,3,,2016/9/21,163,59,12,18,7,11,,2016-09-21,,,,,,
2016-09-22,101,,9,6,4,2,,2016/9/22,105,65,31,20,8,14,,2016-09-22,,,,,,
2016-09-23,116,,10,6,4,4,,2016/9/23,114,101,20,28,7,15,,2016-09-23,,,,,,
2016-09-24,129,,10,6,4,3,,2016/9/24,154,86,32,24,8,18,,2016-09-24,,,,,,
2016-09-25,127,,10,7,4,3,,2016/9/25,139,112,27,34,8,24,,2016-09-25,,,,,,
2016-09-26,152,,12,7,4,4,,2016/9/26,159,84,34,25,8,14,,2016-09-26,,,,,,
2016-09-27,147,,14,9,4,5,,2016/9/27,140,126,52,39,7,20,,2016-09-27,,,,,,
2016-09-28,176,,11,6,4,8,,2016/9/28,170,129,30,31,9,15,,2016-09-28,,,,,,
2016-09-29,163,,15,9,4,11,,2016/9/29,176,100,44,32,9,14,,2016-09-29,,,,,,
2016-09-30,160,,10,7,4,9,,2016/9/30,152,148,22,32,10,25,,2016-09-30,,,,,,
2016-10-01,156,,23,7,4,9,,2016/10/1,186,119,17,27,10,21,,2016-10-01,,,,,,
2016-10-02,136,,55,10,4,10,,2016/10/2,164,119,13,32,8,27,,2016-10-02,,,,,,
2016-10-03,162,,8,7,5,8,,2016/10/3,167,159,26,38,8,16,,2016-10-03,,,,,,
2016-10-04,184,,5,8,6,16,,2016/10/4,189,95,5,43,9,10,,2016-10-04,,,,,,
2016-10-05,181,,19,4,5,28,,2016/10/5,149,130,23,48,9,18,,2016-10-05,,,,,,
2016-09-06,,,,,,,,2016/10/6,176,136,23,32,9,17,,2016-10-06,,,,,,
2016-10-07,441,,15,5,2,29,,2016/10/7,180,141,21,45,9,28,,2016-10-07,,,,,,
2016-10-08,273,,19,4,5,28,,2016/10/8,183,180,40,62,9,18,,2016-10-08,,,,,,
2016-10-09,189,,19,3,4,17,,2016/10/9,201,146,57,42,9,6,,2016-10-09,,,,,,
2016-10-10,268,,8,1,4,6,,2016/10/10,181,179,84,39,8,18,,2016-10-10,,,,,,
2016-10-11,186,,8,1,5,5,,2016/10/11,192,156,56,35,10,22,,2016-10-11,,,,,,
2016-10-12,186,,6,5,1,14,,2016/10/12,182,157,41,36,9,33,,2016-10-12,,,,,,
2016-10-13,197,,4,3,3,9,,2016/10/13,166,136,46,37,11,24,,2016-10-13,,,,,,
2016-10-14,178,,10,4,4,9,,2016/10/14,161,203,98,47,10,30,,2016-10-14,,,,,,
2016-10-15,203,,4,4,2,9,,2016/10/15,202,169,85,37,13,22,,2016-10-15,,,,,,
2016-10-16,187,,6,4,1,11,,2016/10/16,194,218,73,42,17,32,,2016-10-16,,,,,,
2016-10-17,207,,50,5,2,30,,2016/10/17,205,234,76,45,15,28,,2016-10-17,,,,,,
2016-10-18,198,,5,7,6,27,,2016/10/18,212,227,67,40,17,30,,2016-10-18,,,,,,
2016-10-19,210,,9,9,2,13,,2016/10/19,202,225,40,36,13,28,,2016-10-19,,,,,,
2016-10-20,204,,13,10,5,13,,2016/10/20,188,217,43,32,14,23,,2016-10-20,,,,,,
2016-10-21,206,,11,9,2,13,,2016/10/21,185,237,39,31,14,25,,2016-10-21,,,,,,
2016-10-22,186,,1,11,2,13,,2016/10/22,192,197,85,37,10,19,,2016-10-22,,,,,,
2016-10-23,232,,4,11,2,21,,2016/10/23,210,235,57,37,15,27,,2016-10-23,,,,,,
2016-10-24,278,,13,9,4,18,,2016/10/24,208,210,38,32,15,14,,2016-10-24,,,,,,
2016-10-25,179,,16,11,7,18,,2016/10/25,188,269,59,45,18,16,,2016-10-25,,,,,,
2016-10-26,225,,24,13,6,24,,2016/10/26,233,434,87,52,15,37,,2016-10-26,,,,,,
2016-10-27,328,,23,14,6,31,,2016/10/27,323,446,76,46,14,40,,2016-10-27,,,,,,
2016-10-28,311,,22,15,8,18,,2016/10/28,317,398,52,71,20,36,,2016-10-28,,,,,,
2016-10-29,311,,20,11,5,18,,2016/10/29,326,386,48,47,19,16,,2016-10-29,,,,,,
2016-10-30,305,,22,13,13,26,,2016/10/30,311,622,41,55,32,30,,2016-10-30,,,,,,
2016-10-31,339,,26,14,6,29,,2016/10/31,447,508,40,55,18,31,,2016-10-31,,,,,,
2016-11-01,369,,68,18,5,33,,2016/11/1,386,710,25,70,17,38,,2016-11-01,,,,,,
2016-11-02,371,,21,15,9,20,,2016/11/2,495,535,51,66,18,44,,2016-11-02,,,,,,
2016-11-03,358,,17,13,7,15,,2016/11/3,477,421,42,59,16,38,,2016-11-03,,,,,,
2016-11-04,373,,16,15,6,26,,2016/11/4,331,813,23,61,18,44,,2016-11-04,,,,,,
2016-11-05,420,,15,17,5,23,,2016/11/5,557,792,29,63,19,53,,2016-11-05,,,,,,
2016-11-06,409,,1,18,6,13,,2016/11/6,618,578,39,45,20,37,,2016-11-06,,,,,,
2016-11-07,420,,18,14,4,13,,2016/11/7,432,410,28,44,18,11,,2016-11-07,,,,,,
2016-11-08,330,,21,16,5,13,,2016/11/8,347,343,43,49,21,20,,2016-11-08,,,,,,
2016-11-09,362,,20,24,10,13,,2016/11/9,317,415,51,61,24,27,,2016-11-09,,,,,,
2016-11-10,380,,21,22,8,19,,2016/11/10,314,442,56,58,25,43,,2016-11-10,,,,,,
2016-11-11,355,,22,19,8,21,,2016/11/11,333,370,52,49,17,32,,2016-11-11,,,,,,
2016-11-12,349,,19,18,8,16,,2016/11/12,310,260,47,48,22,30,,2016-11-12,,,,,,
2016-11-13,277,,20,17,7,19,,2016/11/13,250,272,20,63,17,11,,2016-11-13,,,,,,
2016-11-14,262,,16,18,8,21,,2016/11/14,267,279,33,63,18,12,,2016-11-14,,,,,,
2016-11-15,292,,21,19,6,18,,2016/11/15,268,330,42,58,17,25,,2016-11-15,,,,,,
2016-11-16,312,,22,16,5,12,,2016/11/16,281,294,39,53,18,11,,2016-11-16,,,,,,
2016-11-17,273,,22,15,5,12,,2016/11/17,264,308,37,56,21,11,,2016-11-17,,,,,,
2016-11-18,259,,25,19,4,19,,2016/11/18,273,370,45,63,24,32,,2016-11-18,,,,,,
2016-11-19,314,,24,19,4,24,,2016/11/19,297,332,48,56,24,30,,2016-11-19,,,,,,
2016-11-20,314,,25,17,8,26,,2016/11/20,283,348,44,52,22,39,,2016-11-20,,,,,,
2016-11-21,346,,18,13,6,15,,2016/11/21,276,221,30,51,21,37,,2016-11-21,,,,,,
2016-11-22,204,,78,14,4,10,,2016/11/22,205,254,35,49,19,18,,2016-11-22,,,,,,
2016-11-23,196,,17,21,6,14,,2016/11/23,238,315,36,57,21,36,,2016-11-23,,,,,,
2016-11-24,246,,11,12,4,10,,2016/11/24,256,279,34,34,17,10,,2016-11-24,,,,,,
2016-11-25,181,,17,12,5,7,,2016/11/25,217,183,38,35,19,8,,2016-11-25,,,,,,
2016-11-26,165,,16,14,2,10,,2016/11/26,187,150,37,35,17, ,,2016-11-26,,,,,,
2016-11-27,171,,84,14,5,10,,2016/11/27,199,206,36,40,24,8,,2016-11-27,,,,,,
2016-11-28,168,,25,31,12,22,,2016/11/28,215,355,47,65,22,26,,2016-11-28,,,,,,
2016-11-29,274,,9,17,4,22,,2016/11/29,229,273,7,44,18,33,,2016-11-29,,,,,,
2016-11-30,303,,5,17,7,28,,2016/11/30,236,287,12,30,16,31,,2016-11-30,,,,,,
2017-09-01,71,,12,3,4,6,,2017/9/1,77,41, , , , ,,2017-09-01,,,,,,
2017-09-02,107,,8,2,6,8,,2017/9/2,82,53,33,14,8, ,,2017-09-02,,,,,,
2017-09-03,103,,11,3,6,9,,2017/9/3,100,69,26,14,8,2,,2017-09-03,,,,,,
2017-09-04,124,,5,2,1,8,,2017/9/4,120,55,34,14,8,6,,2017-09-04,,,,,,
2017-09-05,103,,4,6,1,14,,2017/9/5,98,48,4,21,7,5,,2017-09-05,,,,,,
2017-09-06,,,,,,,,2017/9/6,83, , , , , ,,2017-09-06,,,,,,
2017-09-07,,,,,,,,,,,,,,,,2017-09-07,,,,,,
2017-09-08,,,,,,,,,,,,,,,,2017-09-08,,,,,,
2017-09-09,72,,18,5,1,10,,2017/9/9,154,91,56,21,9,14,,2017-09-09,,,,,,
2017-09-10,72,,20,6,2,11,,2017/9/10,154,103,63,26,9,12,,2017-09-10,,,,,,
2017-09-11,149,,4,6,1,14,,2017/9/11,164,85,51,22,10,10,,2017-09-11,,,,,,
2017-09-12,156,,17,9,1,9,,2017/9/12,148,98,63,25,10,13,,2017-09-12,,,,,,
2017-09-13,72,,17,8,11,6,,2017/9/13,161,117,87,31,10,16,,2017-09-13,,,,,,
2017-09-14,166,,17,9,1,9,,2017/9/14,203,105,59,26,11,12,,2017-09-14,,,,,,
2017-09-15,72,,15,10,4,11,,2017/9/15,174,109,37,32,12,12,,2017-09-15,,,,,,
2017-09-16,157,,15,6,2,8,,2017/9/16,175,86,52,20,10,8,,2017-09-16,,,,,,
2017-09-17,135,,20,7,2,8,,2017/9/17,161,96,67,26,10,6,,2017-09-17,,,,,,
2017-09-18,137,,18,7,6,9,,2017/9/18,164,112,67,37,18,15,,2017-09-18,,,,,,
2017-09-19,156,,22,7,6,10,,2017/9/19,181,129,60,34,16,23,,2017-09-19,,,,,,
2017-09-20,159,,8,5,6,9,,2017/9/20,196,82,17,21,11,13,,2017-09-20,,,,,,
2017-09-21,127,,3,3,3,6,,2017/9/21,152,33,7,16,11,8,,2017-09-21,,,,,,
2017-09-22,83,,3,3,3,3,,2017/9/22,87,30,5,14,9,6,,2017-09-22,,,,,,
2017-09-23,102,,9,5,3,6,,2017/9/23,79,66,20,16,8,9,,2017-09-23,,,,,,
2017-09-24,111,,17,5,3,8,,2017/9/24,134,101,28,25,9,19,,2017-09-24,,,,,,
2017-09-25,154,,14,6,3,10,,2017/9/25,163,124,26,27,9,23,,2017-09-25,,,,,,
2017-09-26,167,,18,6,3,12,,2017/9/26,180,132,43,33,11,25,,2017-09-26,,,,,,
2017-09-27,178,,20,6,6,13,,2017/9/27,185,123,37,36,9,12,,2017-09-27,,,,,,
2017-09-28,190,,20,7,3,13,,2017/9/28,177,133,35,35,13,20,,2017-09-28,,,,,,
2017-09-29,181,,16,7,2,16,,2017/9/29,186,144,38,28,15,25,,2017-09-29,,,,,,
2017-09-30,173,,9,6,3,4,,2017/9/30,190,142,29,28,14,22,,2017-09-30,,,,,,
2017-10-01,441,,12,7,2,8,,2017/10/1,187,115,26,26,11,15,,2017-10-01,,,,,,
2017-10-02,145,,21,7,3,8,,2017/10/2,166,127,36,35,15,15,,2017-10-02,,,,,,
2017-10-03,163,,21,9,4,12,,2017/10/3,175,137,36,39,13,20,,2017-10-03,,,,,,
2017-10-04,172,,16,8,7,12,,2017/10/4,184,126,31,40,13,15,,2017-10-04,,,,,,
2017-10-05,176,,21,9,10,10,,2017/10/5,179,116,32,42,16,13,,2017-10-05,,,,,,
2017-10-06,183,,21,12,3,10,,2017/10/6,170,141,40,43,14,20,,2017-10-06,,,,,,
2017-10-07,166,,28,8,9,11,,2017/10/7,190,168,47,39,14,28,,2017-10-07,,,,,,
2017-10-08,441,,13,9,2,11,,2017/10/8,217,193,28,44,25,31,,2017-10-08,,,,,,
2017-10-09,155,,28,8,9,11,,2017/10/9,224,189,84,39,21,5,,2017-10-09,,,,,,
2017-10-10,169,,14,7,6,12,,2017/10/10,212,167,72,36,18,14,,2017-10-10,,,,,,
2017-10-11,168,,25,9,8,15,,2017/10/11,193,176,59,43,14,28,,2017-10-11,,,,,,
2017-10-12,186,,24,10,6,11,,2017/10/12,208,200,58,46,30,26,,2017-10-12,,,,,,
2017-10-13,180,,26,11,5,15,,2017/10/13,219,225,66,45,24,33,,2017-10-13,,,,,,
2017-10-14,183,,3,17,18,18,,2017/10/14,222,256,75,44,18,34,,2017-10-14,,,,,,
2017-10-15,441,,35,16,15,17,,2017/10/15,247,279,76,57,24,38,,2017-10-15,,,,,,
2017-10-16,212,,29,14,9,13,,2017/10/16,253,256,58,48,20,28,,2017-10-16,,,,,,
2017-10-17,185,,27,13,9,14,,2017/10/17,239,276,57,49,25,34,,2017-10-17,,,,,,
2017-10-18,200,,34,14,7,18,,2017/10/18,259,325,78,49,22,37,,2017-10-18,,,,,,
2017-10-19,244,,23,11,6,14,,2017/10/19,308,522,58,50,36,36,,2017-10-19,,,,,,
2017-10-20,278,,10,10,6,21,,2017/10/20,465,365,58,49,24,32,,2017-10-20,,,,,,
2017-10-21,387,,19,9,9,12,,2017/10/21,321,251,45,51,16,30,,2017-10-21,,,,,,
2017-10-22,242,,22,9,13,18,,2017/10/22,251,260,50,59,21,38,,2017-10-22,,,,,,
2017-10-23,260,,21,10,9,16,,2017/10/23,248,305,43,53,21,33,,2017-10-23,,,,,,
2017-10-24,254,,22,16,5,26,,2017/10/24,263,312,55,61,23,32,,2017-10-24,,,,,,
2017-10-25,258,,24,14,10,23,,2017/10/25,288,250,51,55,19,30,,2017-10-25,,,,,,
2017-10-26,302,,19,12,6,15,,2017/10/26,256,267,44,50,18,32,,2017-10-26,,,,,,
2017-10-27,233,,24,10,8,12,,2017/10/27,260,300,46,53,16,41,,2017-10-27,,,,,,
2017-10-28,258,,19,6,5,13,,2017/10/28,272,284,39,57,15,34,,2017-10-28,,,,,,
2017-10-29,274,,24,17,8,19,,2017/10/29,269,259,38,58,16,21,,2017-10-29,,,,,,
2017-10-30,282,,16,15,11,19,,2017/10/30,280,303,23,50,15,21,,2017-10-30,,,,,,
2017-10-31,304,,20,9,7,13,,2017/10/31,284,263,34,54,14,25,,2017-10-31,,,,,,
2017-11-01,226,,15,7,5,15,,2017/11/1,267,206,30,55,16,26,,2017-11-01,,,,,,
2017-11-02,209,,20,6,7,17,,2017/11/2,232,229,34,51,19,38,,2017-11-02,,,,,,
2017-11-03,230,,21,6,8,17,,2017/11/3,250,276,38,39,18,42,,2017-11-03,,,,,,
2017-11-04,216,,15,5,7,25,,2017/11/4,290,296,56,54,17,43,,2017-11-04,,,,,,
2017-11-05,222,,20,7,6,18,,2017/11/5,280,272,29,49,17,37,,2017-11-05,,,,,,
2017-11-06,200,,23,13,7,27,,2017/11/6,254,638,33,58,16,55,,2017-11-06,,,,,,
2017-11-07,345,,22,15,8,17,,2017/11/7,475,825,30,78,19,72,,2017-11-07,,,,,,
2017-11-08,413,,24,16,9,23,,2017/11/8,617,701,46,69,14,67,,2017-11-08,,,,,,
2017-11-09,377,,22,15,10,38,,2017/11/9,544,516,32,79,13,57,,2017-11-09,,,,,,
2017-11-10,318,,28,13,8,38,,2017/11/10,395,521,26,88,15,59,,2017-11-10,,,,,,
2017-11-11,287,,29,19,9,32,,2017/11/11,410,665,39,90,6,61,,2017-11-11,,,,,,
2017-11-12,380,,19,15,6,35,,2017/11/12,474,515,30,67,16,56,,2017-11-12,,,,,,
2017-11-13,299,,17,19,2,52,,2017/11/13,402,352,21,53,13,40,,2017-11-13,,,,,,
2017-11-14,255,,82,13,6,32,,2017/11/14,336,261,18,46,11,17,,2017-11-14,,,,,,
2017-11-15,208,,18,11,11,10,,2017/11/15,273,230,20,48,22,19,,2017-11-15,,,,,,
2017-11-16,216,,14,11,9,13,,2017/11/16,265,163,17,41,18,14,,2017-11-16,,,,,,
2017-11-17,197,,12,13,6,14,,2017/11/17,214,147,18,48,17,14,,2017-11-17,,,,,,
2017-11-18,200,,17,12,4,8,,2017/11/18,205,151,33,36,15,5,,2017-11-18,,,,,,
2017-11-19,188,,23,14,6,7,,2017/11/19,201,214,34,44,16,5,,2017-11-19,,,,,,
2017-11-20,187,,20,14,5,20,,2017/11/20,249,229,34,40,13,11,,2017-11-20,,,,,,
2017-11-21,187,,17,21,2,17,,2017/11/21,260,224,36,44,19,1,,2017-11-21,,,,,,
2017-11-22,173,,20,18,5,14,,2017/11/22,251,240,39,48,22,9,,2017-11-22,,,,,,
2017-11-23,189,,22,17,5,10,,2017/11/23,270,227,40,51,23,7,,2017-11-23,,,,,,
2017-11-24,186,,15,22,4,13,,2017/11/24,259,285,47,52,25,14,,2017-11-24,,,,,,
2017-11-25,208,,22,23,5,17,,2017/11/25,283,351,43,55,19,38,,2017-11-25,,,,,,
2017-11-26,219,,21,22,5,13,,2017/11/26,310,338,41,51,22,28,,2017-11-26,,,,,,
2017-11-27,199,,19,17,7,23,,2017/11/27,318,319,32,52,25,24,,2017-11-27,,,,,,
2017-11-28,221,,17,17,8,30,,2017/11/28,284,336,16,67,21,23,,2017-11-28,,,,,,
2017-11-29,292,,5,22,7,23,,2017/11/29,305,364,25,58,14,57,,2017-11-29,,,,,,
2017-11-30,229,,18,18,8,17,,2017/11/30,320,315,27,59,18,42,,2017-11-30,,,,,,
2018-09-01,,,,,,,,2018/9/1,128,66,27,6,8,10,,2018/9/1,68,42,7,5,3,6
2018-09-02,,,,,,,,2018/9/2,115,64,52,7,11,11,,2018/9/2,60,42,14,5,4,6
2018-09-03,,,,,,,,2018/9/3,128,67,11,6,11,10,,2018/9/3,66,36,19,6,3,5
2018-09-04,,,,,,,,2018/9/4,144,72,14,5,9,8,,2018/9/4,65,45,9,6,2,6
