date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,,date,D_pm25,D_pm10,D_o3,D_no2,D_so2,D_co,,date,P_pm25,P_pm10,P_o3,P_no2,P_so2,P_co
2018-09-05,,,,,,,,2018/9/5,117,89,22,5,8,7,,2018/9/5,77,47,27,5,3,6
2018-09-06,,,,,,,,2018/9/6,120,65,22,8,8,11,,2018/9/6,67,35,11,5,3,6
2018-09-07,,,,,,,,2018/9/7,123,64,13,5,8,7,,2018/9/7,57,16,20,6,4,6
2018-09-08,,,,,,,,2018/9/8,122,42,11,3,12,5,,2018/9/8,32,39,15,5,4,6
2018-09-09,,,,,,,,2018/9/9,94,55,19,3,15,6,,2018/9/9,61,26,18,5,3,6
2018-09-10,,,,,,,,2018/9/10,105,64,17,4,11,6,,2018/9/10,57,23,25,9,3,5
2018-09-11,,,,,,,,2018/9/11,95,90,12,4,8,6,,2018/9/11,62,34,23,12,4,6
2018-09-12,,,,,,,,2018/9/12,93,103,13,3,8,5,,2018/9/12,60,50,10,12,10,6
2018-09-13,,,,,,,,2018/9/13,99,88,17,4,12,7,,2018/9/13,56,48,17,10,4,6
2018-09-14,,,,,,,,2018/9/14,103,89,19,6,15,10,,2018/9/14,61,35,8,10,1,9
2018-09-15,,,,,,,,2018/9/15,118,92,15,9,12,5,,2018/9/15,48,26, ,11,1,8
2018-09-16,,,,,,,,2018/9/16,121,115,28,3,8,6,,2018/9/16,54,32,11,10,2,8
2018-09-17,,,,,,,,2018/9/17,143,129,33,5,8,7,,2018/9/17,71,56,18,14,17,8
2018-09-18,,,,,,,,2018/9/18,144,130,38,8,9,8,,2018/9/18,108,65,20,1,2,4
2018-09-19,,,,,,,,2018/9/19,149,136,56,20,16,12,,2018/9/19,133,79,21, ,2,7
2018-09-20,,,,,,,,2018/9/20,163,77,17,13,9,6,,2018/9/20,148,76,3, ,2,7
2018-09-21,,,,,,,,2018/9/21,118,44,12,13,11,6,,2018/9/21,138,47,1, ,6,4
2018-09-22,,,,,,,,2018/9/22,80,51,14,10,10,6,,2018/9/22,97, , , ,2,5
2018-09-23,,,,,,,,2018/9/23,100,33,9,35,10,6,,2018/9/23,,,,,,
2018-09-24,,,,,,,,2018/9/24,74,42,14,18,8,7,,2018/9/24,65,34,6,9,2,5
2018-09-25,,,,,,,,2018/9/25,87,78,29,24,12,6,,2018/9/25,49,46,6,9,1,5
2018-09-26,,,,,,,,2018/9/26,116,119,37,26,15,17,,2018/9/26,102,60,7,9,3,6
2018-09-27,,,,,,,,2018/9/27,162,128,32,28,12,24,,2018/9/27,130,70,7,9,11,8
2018-09-28,,,,,,,,2018/9/28,164,136,32,34,7,19,,2018/9/28,136,21,2,9,16,6
2018-09-29,,,,,,,,2018/9/29,157,103,40,29,15,12,,2018/9/29,57,23,3,9,30,12
2018-09-30,,,,,,,,2018/9/30,150,136,41,35,16,17,,2018/9/30,57,32,3,9,19,8
2018-10-01,,,,,,,,2018/10/1,166,122,34,31,7,12,,2018/10/1,73,32,3,9,17,9
2018-10-02,,,,,,,,2018/10/2,160,101,19,40,13,17,,2018/10/2,73,32,3,9,78,10
2018-10-03,,,,,,,,2018/10/3,140,140,2,41,8,14,,2018/10/3,74,38,3,9,21,8
2018-10-04,,,,,,,,2018/10/4,172,169,49,53,9,18,,2018/10/4,82,45,5,9,11,10
2018-10-05,,,,,,,,2018/10/5,193,157,37,37,10,15,,2018/10/5,94,68,9,9,4,8
2018-10-06,,,,,,,,2018/10/6,170,162,47,40,9,15,,2018/10/6,129,80,6,14,3,9
2018-10-07,,,,,,,,2018/10/7,173,232,98,47,12,21,,2018/10/7,152,91,14,10,4,10
2018-10-08,,,,,,,,2018/10/8,203,200,57,36,11,19,,2018/10/8,152,96,10,8,5,7
2018-10-09,,,,,,,,2018/10/9,193,135,33,36,9,13,,2018/10/9,146,85,10,5,6,14
2018-10-10,,,,,,,,2018/10/10,172,135,30,27,9,10,,2018/10/10,161,64,8,5,5,7
2018-10-11,,,,,,,,2018/10/11,142,132,47,37,11,14,,2018/10/11,129,60,12,5,5,6
2018-10-12,,,,,,,,2018/10/12,160,253,48,31,10,14,,2018/10/12,131,52,3,5,4,5
2018-10-13,,,,,,,,2018/10/13,195, ,43,28,10,13,,2018/10/13,124,65, ,5,4,7
2018-10-14,,,,,,,,2018/10/14,172,266,52,36,11,19,,2018/10/14,149,66, ,5,4,6
2018-10-15,,,,,,,,2018/10/15,197,210,53,34,9,24,,2018/10/15,140,79, ,5,6,10
2018-10-16,,,,,,,,2018/10/16,201,232,51,28,9,19,,2018/10/16,157,78, ,5,9,10
2018-10-17,,,,,,,,2018/10/17,206,191,31,27,9,24,,2018/10/17,156,92,4,5,7,10
2018-10-18,,,,,,,,2018/10/18,195,184,66,48,8,14,,2018/10/18,169,63,14,5,3,8
2018-10-19,,,,,,,,2018/10/19,201,211,55,58,10,15,,2018/10/19,146,71,9,5,4,7
2018-10-20,,,,,,,,2018/10/20,237,200,46,49,11, ,,2018/10/20,149,61,10,5,4,5
2018-10-21,,,,,,,,2018/10/21,213,182,43,48,10,24,,2018/10/21,143,80,17,5,4,6
2018-10-22,,,,,,,,2018/10/22,189,242,46,53,9,20,,2018/10/22,161,72,6,4,8,11
2018-10-23,,,,,,,,2018/10/23,202,267,57,55,7,25,,2018/10/23,150,71,6,4,7,11
2018-10-24,,,,,,,,2018/10/24,238,268,36,57,7,28,,2018/10/24,158,70,4,4,3,12
2018-10-25,,,,,,,,2018/10/25,229,266,29,30,6,31,,2018/10/25,159,78,6,5,6,9
2018-10-26,,,,,,,,2018/10/26,243,285,55,24,4,28,,2018/10/26,165,78,4,5,5,6
2018-10-27,,,,,,,,2018/10/27,268,281,50,19,4,15,,2018/10/27,150,85,6,5,4,8
2018-10-28,,,,,,,,2018/10/28,287,351,40,23,4,33,,2018/10/28,164,82,5,5,4,7
2018-10-29,,,,,,,,2018/10/29,328,422,25,24,3,26,,2018/10/29,142,85,14,5,4,8
2018-10-30,,,,,,,,2018/10/30,337,295,46,21,3,26,,2018/10/30,150,77,18,6,5,7
2018-10-31,,,,,,,,2018/10/31,277,284,40,24,3,25,,2018/10/31,135,84,8,5,4,10
2018-11-01,,,,,,,,2018/11/1,279,238,38,24,3,22,,2018/11/1,154,68,9,5,8,6
2018-11-02,,,,,,,,2018/11/2,263,194,19,20,29,11,,2018/11/2,119,41,8,5,7,5
2018-11-03,,,,,,,,2018/11/3,241,162,5,33,2,9,,2018/11/3,58,131,6,5,7,4
2018-11-04,,,,,,,,2018/11/4,230,388,24,36,4,12,,2018/11/4,143,52,12,5,4,4
2018-11-05,,,,,,,,2018/11/5,393,208,37,27,2,9,,2018/11/5,133,68,14,5,3,4
2018-11-06,,,,,,,,2018/11/6,247,303,49,23,4,15,,2018/11/6,141,84,14,7,5,9
2018-11-07,,,,,,,,2018/11/7,288,527,18,29,8,21,,2018/11/7,158,199,5,10,10, 
2018-11-08,,,,,,,,2018/11/8,492,259,44,31,4,22,,2018/11/8,161,129,5,5,5, 
2018-11-09,,,,,,,,2018/11/9,352,442,35,42,3,27,,2018/11/9,129,107,4,5,5, 
2018-11-10,,,,,,,,2018/11/10,360,312,43,46,3,24,,2018/11/10,129,84,5,5,5, 
2018-11-11,,,,,,,,2018/11/11,290,366,41,66,3,25,,2018/11/11,129,91,10,5,6,500
2018-11-12,,,,,,,,2018/11/12,329,308,28,64,2,17,,2018/11/12,129,86,4,5, ,269
2018-11-13,,,,,,,,2018/11/13,310,139,24,40,2,18,,2018/11/13,130,66,4,4, , 
2018-11-14,,,,,,,,2018/11/14,198,112,19,40,1,11,,2018/11/14,133,39,8,4, , 
2018-11-15,,,,,,,,2018/11/15,171,147,24,39,2,8,,2018/11/15,112, ,3,4, , 
2018-11-16,,,,,,,,2018/11/16,217,165,23,45,2,19,,2018/11/16,85,79,6,5, , 
2018-11-17,,,,,,,,2018/11/17,203,172,22,44,2,18,,2018/11/17,123,101,6,4, , 
2018-11-18,,,,,,,,2018/11/18,211,171,19,49,2,12,,2018/11/18,141,87,9,4, , 
2018-11-19,,,,,,,,2018/11/19,225,245,21,53,3,18,,2018/11/19,132,76,13,4, , 
2018-11-20,,,,,,,,2018/11/20,261,261,20,51,3,16,,2018/11/20,116,69,11,5, , 
2018-11-21,,,,,,,,2018/11/21,291,187,15,65,4,18,,2018/11/21,107,91,9,5, , 
2018-11-22,,,,,,,,2018/11/22,192,192,18,54,3,15,,2018/11/22,125,78,11,5, , 
2018-11-23,,,,,,,,2018/11/23,232,157,13,39,2,9,,2018/11/23,114,63,11,5, , 
2018-11-24,,,,,,,,2018/11/24,176,161,13,49,3,12,,2018/11/24,84,102,3,7, , 
2018-11-25,,,,,,,,2018/11/25,185,264,17,54,5,13,,2018/11/25,147,104,9,4, , 
2018-11-26,,,,,,,,2018/11/26,269,236,14,41,3,25,,2018/11/26,125,110,5,4, , 
2018-11-27,,,,,,,,2018/11/27,251,244,13,43,3,25,,2018/11/27,120,101,7,5, , 
2018-11-28,,,,,,,,2018/11/28,247,227,13,49,2,17,,2018/11/28,126,74,11,4,1,3
2018-11-29,,,,,,,,2018/11/29,237,198,12,52,2,15,,2018/11/29,109,75,10,5, , 
2018-11-30,,,,,,,,2018/11/30,246,225,13,46,3,20,,2018/11/30,105,73,8,5,3,5
2019-09-01,61,,17,3,10,8,,2019/9/1,174,72,43,20,10,15,,2019/9/1,67,74,12,4,4, 
2019-09-02,61,,21,3,9,14,,2019/9/2, ,106,29,25,8,16,,2019/9/2,56,121,12,3,3, 
2019-09-03,140,,17,3,11,11,,2019/9/3, ,107,24,25,3,15,,2019/9/3,89,151,12,10,3, 
2019-09-04,115,,13,3,9,7,,2019/9/4, ,64,25,15,2,14,,2019/9/4,99,49,11,9,1, 
2019-09-05,73,,12,3,10,9,,2019/9/5, ,65,23,15,3,14,,2019/9/5,66,55,9,12,2, 
2019-09-06,69,,15,3,9,7,,2019/9/6, ,60,24,14,5,15,,2019/9/6,70,66,10,10,1, 
2019-09-07,68,,22,3,10,7,,2019/9/7, ,72,35,17,3,16,,2019/9/7,97,60,10,3,1, 
2019-09-08,60,,67,3,10,9,,2019/9/8, ,99,29,20,3,16,,2019/9/8,119,57,13,4,1, 
2019-09-09,110,,68,3,19,9,,2019/9/9,174,104,46,23,3,17,,2019/9/9,98,75,12,8,3, 
2019-09-10,151,,50,3,12,7,,2019/9/10, ,130,38,26,3,19,,2019/9/10,121,75,11,8,3, 
2019-09-11,151,,15,3,9,7,,2019/9/11, ,94,20,18,2,14,,2019/9/11,124,86,11,8,3, 
2019-09-12,136,,9,3,3,7,,2019/9/12, ,60,17,14,2,13,,2019/9/12,136,57,9,8,3, 
2019-09-13,72,,20,5,2,9,,2019/9/13, ,52,30,12,3,13,,2019/9/13,99,69,9,10,3, 
2019-09-14,69,,9,3,3,7,,2019/9/14, ,56,31,12,3,14,,2019/9/14,120,58,9,8,3, 
2019-09-15,72,,52,3,4,18,,2019/9/15, ,90,43,22,3,16,,2019/9/15,100,55,12,7,3, 
2019-09-16,142,,48,3,4,12,,2019/9/16, ,90,59,25,2,15,,2019/9/16,96,75,16,8,3, 
2019-09-17,139,,28,3,2,8,,2019/9/17, ,63,27,15,2,12,,2019/9/17,111,64,9,10,3, 
2019-09-18,79,,29,3,1,7,,2019/9/18, ,47,19,13,3,13,,2019/9/18,112,60,9,11,4, 
2019-09-19,58,,20,3,1,8,,2019/9/19, ,62,22,16,3,14,,2019/9/19,82,64,17,11,6, 
2019-09-20,80,,23,3,3,6,,2019/9/20, ,76,30,14,3,12,,2019/9/20,109,54,22,10,5, 
2019-09-21,90,,18,3,4,8,,2019/9/21, ,51,14,17,3,13,,2019/9/21,99,68,14,13,4, 
2019-09-22,72,,23,3,3,7,,2019/9/22, ,56,28,16,2,13,,2019/9/22,113,62,25,8,4, 
2019-09-23,59,,23,3,4,8,,2019/9/23, ,68,27,18,3,13,,2019/9/23,108,75,18,12,6, 
2019-09-24,93,,26,3,4,9,,2019/9/24, ,55,28,18,3,13,,2019/9/24,133,73,17,16,3, 
2019-09-25,75,,24,3,5,7,,2019/9/25, ,47,14,13,2,7,,2019/9/25,133,65,6,19,5, 
2019-09-26,52,,12,3,7,8,,2019/9/26, ,37,9,3, ,5,,2019/9/26,113,43,19,13,2, 
2019-09-27,33,,15,3,7,8,,2019/9/27, ,51,15,6,1,7,,2019/9/27,78,49,12,9,2, 
2019-09-28,49,,23,3,7,6,,2019/9/28, ,36,18, ,1,6,,2019/9/28,91,32,10,10,2, 
2019-09-29,22,,23,3,3,11,,2019/9/29, ,46,24, ,1,18,,2019/9/29,66,42,8,12,3, 
2019-09-30,71,,23,3,1,8,,2019/9/30, ,57,26, ,3,6,,2019/9/30,77,59,11,11,6, 
2019-10-01,72,,31,7,2,9,,2019/10/1, ,94,42, ,2,17,,2019/10/1,108,61,18,14,7, 
2019-10-02,70,,45,7,4,12,,2019/10/2, ,95,52, ,2,10,,2019/10/2,120,54,20,11,4, 
2019-10-03,138,,48,7,3,10,,2019/10/3,474,561,11,16,5,10,,2019/10/3,105,37,16,11,4, 
2019-10-04,132,,50,7,5,16,,2019/10/4, ,91,36,21,2,15,,2019/10/4,64,46,21,12,3, 
2019-10-05,108,,27,7,5,14,,2019/10/5, ,99,43,26,1,8,,2019/10/5,84,58,21,18,3, 
2019-10-06,142,,31,7,1,15,,2019/10/6, ,99,43,26,1,8,,2019/10/6,121,60,20,13,3, 
2019-10-07,137,,47,7,2,8,,2019/10/7, ,93,33,22,1,8,,2019/10/7,113,48,21,19,3, 
2019-10-08,113,,43,7,3,11,,2019/10/8, ,87,39,19,1,10,,2019/10/8,87,61,22,19,3, 
2019-10-09,150,,65,7,6,15,,2019/10/9, ,113,47,26,1,15,,2019/10/9,117,62,24,19,5, 
2019-10-10,155,,71,7,6,17,,2019/10/10, ,118,62,31,5,10,,2019/10/10,109,64,17,21,4, 
2019-10-11,171,,71,7,6,17,,2019/10/11, ,121,57,35,2,3,,2019/10/11,130,76,14,19,3, 
2019-10-12,172,,73,7,5,23,,2019/10/12,174,121,50,30,2,3,,2019/10/12,148,70,13,18,1, 
2019-10-13,179,,51,7,7,24,,2019/10/13, ,145,38,30,2,3,,2019/10/13,149,81,12,20,1, 
2019-10-14,186,,76,7,5,25,,2019/10/14, ,167,43,28,3,3,,2019/10/14,149,101,13,21,3, 
2019-10-15,206,,63,7,3,19,,2019/10/15, ,169,49,32,3,17,,2019/10/15,164,108,12,20,3, 
2019-10-16,200,,53,7,2,16,,2019/10/16,188,173,52,33,4,6,,2019/10/16,172,107,10,16,4, 
2019-10-17,173,,41,7,4,15,,2019/10/17,190,142,26,28,4,14,,2019/10/17,167,84,11,13,5, 
2019-10-18,158,,83,7,6,19,,2019/10/18,182,123,30,23,3,30,,2019/10/18,137,56,14,13,2, 
2019-10-19,148,,52,7,6,18,,2019/10/19,194,121,46,26,36,7,,2019/10/19,117,66,14,14,1, 
2019-10-20,157,,59,7,5,18,,2019/10/20,196,127,33,13,3,9,,2019/10/20,130,88,16,11,2, 
2019-10-21,174,,51,7,5,13,,2019/10/21,197,133,37,13,4,2,,2019/10/21,155,102,17,11,3, 
2019-10-22,150,,76,7,4,17,,2019/10/22,183,144,34,14,5,18,,2019/10/22,159,108,14,13,3, 
2019-10-23,176,,30,7,5,27,,2019/10/23,182,173,9,26,4,15,,2019/10/23,162,110,7,16,6, 
2019-10-24,201,,58,7,4,14,,2019/10/24,191,210,10,43,5,27,,2019/10/24,167,108,16,29,5, 
2019-10-25,180,,55,7,5,16,,2019/10/25,202,174,10,22,5,24,,2019/10/25,169,111,13,19,6, 
2019-10-26,194,,72,7,10,16,,2019/10/26,203,207,11,16,5,21,,2019/10/26,175,145,16,17,10, 
2019-10-27,245,,74,7,16,14,,2019/10/27,287,251,13,15,5,11,,2019/10/27,202,272,7,17,16, 
2019-10-28,284,,34,7,8,26,,2019/10/28,359,385,14,25,6,10,,2019/10/28,275,133,7,21,4, 
2019-10-29,305,,50,7,8,26,,2019/10/29,276,318,10,21,6,19,,2019/10/29,182,145,10,17,3, 
2019-10-30,328,,48,7,8,27,,2019/10/30,276,321,13,18,5,22,,2019/10/30,183,130,8,18,3, 
2019-10-31,309,,61,7,9,30,,2019/10/31,260,327,14,20,5,23,,2019/10/31,189,159,20,16,2, 
2019-11-01,441,,29,7,6,21,,2019/11/1,370,430,15,27,4,10,,2019/11/1,195,184,12,10,1, 
2019-11-02,330,,38,7,4,25,,2019/11/2,288,281,11,17,5,10,,2019/11/2,194,202,16,12,2, 
2019-11-03,464,,54,7,6,15,,2019/11/3,474,561,11,16,5,10,,2019/11/3,236,94,17,10,2, 
2019-11-04,294,,56,7,7,12,,2019/11/4,290,206,17,15,5,9,,2019/11/4,161,114,18,16,2, 
2019-11-05,218,,39,7,9,14,,2019/11/5,250,149,18,15,6,10,,2019/11/5,162,171,11,19,5, 
2019-11-06,184,,25,7,7,18,,2019/11/6,155,113,14,14,5,11,,2019/11/6,205,66,12,13,4, 
2019-11-07,230,,64,7,6,22,,2019/11/7,222,171,8,5,5,9,,2019/11/7,109,46,16,9,4, 
2019-11-08,228,,47,7,8,16,,2019/11/8,199,145,17,3,5,12,,2019/11/8,86,63,15,9,2, 
2019-11-09,182,,61,7,6,15,,2019/11/9,188,131,17,9,5,8,,2019/11/9,115,87,18,10,2, 
2019-11-10,234,,59,7,10,20,,2019/11/10,216,155,22,13,6,14,,2019/11/10,160,123,16,8,2, 
2019-11-11,277,,64,7,10,24,,2019/11/11,264,244,24,16,6,23,,2019/11/11,180,151,16,7,2, 
2019-11-12,363,,32,7,13,29,,2019/11/12,364,369,28,18,6,17,,2019/11/12,187,137,9,7,2, 
2019-11-13,384,,42,7,12,33,,2019/11/13,392,403,23,27,5,14,,2019/11/13,181,149,10,7,2, 
2019-11-14,364,,34,7,6,29,,2019/11/14,390,423,12,45,6,25,,2019/11/14,183,117,5,7,2, 
2019-11-15,438,,49,7,7,13,,2019/11/15,384,379,21,29,6,21,,2019/11/15,165,121,3,5,2, 
2019-11-16,224,,33,7,9,10,,2019/11/16,220,170,22,13,6,7,,2019/11/16,133,73,3,10,1, 
2019-11-17,154,,34,7,7,11,,2019/11/17,155,104,20,8,5,5,,2019/11/17,102,89,3,10,2, 
2019-11-18,154,,47,7,7,15,,2019/11/18,170,111,22,4,5,10,,2019/11/18,130,115,9,10,2, 
2019-11-19,183,,34,7,7,27,,2019/11/19,177,130,21,4,6,15,,2019/11/19,166,98,4,12,3,1
2019-11-20,216,,92,7,28,32,,2019/11/20,206,185,27,8,7,20,,2019/11/20,167,106,9,19,3,3
2019-11-21,303,,71,7,15,24,,2019/11/21,230,219,38,30,7,27,,2019/11/21,171,77,10,19,2, 
2019-11-22,214,,32,7,11,17,,2019/11/22,222,205,31,17,6,20,,2019/11/22,155,57,15,18,2, 
2019-11-23,186,,48,7,9,11,,2019/11/23,187,151,16,12,5,8,,2019/11/23,116,59,14,21,2, 
2019-11-24,170,,54,7,25,16,,2019/11/24,167,111,20,11,6,5,,2019/11/24,122,70,14,22,2, 
2019-11-25,172,,46,7,40,14,,2019/11/25,184,155,16,22,7,16,,2019/11/25,133,77,5,25,5, 
2019-11-26,177,,41,7,19,11,,2019/11/26,169,125,61,22,5,11,,2019/11/26,137,55,8,26,3, 
2019-11-27,136,,19,7,10,9,,2019/11/27,131,91,16,22,6,7,,2019/11/27,98,44,7,23,2, 
2019-11-28,90,,28,7,15,12,,2019/11/28,79,49,16,8,5,3,,2019/11/28,98,44,6,21,2, 
2019-11-29,133,,30,7,12,14,,2019/11/29,114,72,17,17,7,8,,2019/11/29,83,40,10,17,1, 
2019-11-30,168,,43,7,10,14,,2019/11/30,165,99,15,17,5,8,,2019/11/30,83,58,6,16,2, 
